Date, Open, High, Low, Close, Volume
20211202  15:25:00,3454.82,3468.42,3450.0,3461.82,291
20211202  15:30:00,3465.0,3465.0,3447.01,3448.6,138
20211202  15:35:00,3448.14,3452.82,3442.0,3448.23,223
20211202  15:40:00,3447.02,3449.75,3429.31,3430.28,309
20211202  15:45:00,3433.1,3444.56,3426.0,3440.66,285
20211202  15:50:00,3441.87,3446.0,3428.27,3430.78,211
20211202  15:55:00,3429.96,3449.89,3428.0,3446.98,237
20211202  16:00:00,3444.78,3447.0,3435.45,3444.16,216
20211202  16:05:00,3444.15,3456.62,3442.0,3455.07,269
20211202  16:10:00,3453.39,3453.93,3443.11,3450.76,137
20211202  16:15:00,3451.06,3457.26,3449.58,3452.68,90
20211202  16:20:00,3452.46,3457.26,3449.21,3450.13,82
20211202  16:25:00,3450.61,3454.12,3449.0,3450.79,92
20211202  16:30:00,3450.84,3450.84,3434.36,3441.34,139
20211202  16:35:00,3440.12,3448.75,3437.28,3442.05,100
20211202  16:40:00,3441.9,3449.51,3433.11,3437.54,98
20211202  16:45:00,3435.26,3442.24,3433.18,3441.77,100
20211202  16:50:00,3441.02,3441.77,3430.05,3433.25,90
20211202  16:55:00,3433.25,3444.76,3427.4,3442.0,160
20211202  17:00:00,3442.16,3450.7,3438.18,3449.12,282
20211202  17:05:00,3449.26,3454.0,3446.99,3454.0,151
20211202  17:10:00,3453.0,3456.58,3449.78,3456.58,99
20211202  17:15:00,3456.57,3464.0,3455.7,3461.71,132
20211202  17:20:00,3462.78,3475.6,3462.78,3473.0,147
20211202  17:25:00,3472.59,3474.98,3466.22,3467.34,185
20211202  17:30:00,3467.9,3471.99,3462.0,3462.15,151
20211202  17:35:00,3464.35,3466.13,3457.68,3459.36,73
20211202  17:40:00,3462.24,3463.09,3452.73,3453.38,70
20211202  17:45:00,3454.91,3467.52,3454.91,3465.59,116
20211202  17:50:00,3465.65,3466.57,3453.85,3455.5,67
20211202  17:55:00,3455.95,3458.87,3452.0,3452.7,58
20211202  18:00:00,3450.0,3457.11,3446.26,3455.78,188
20211202  18:05:00,3455.79,3456.47,3446.21,3448.89,66
20211202  18:10:00,3448.78,3454.14,3445.99,3454.03,54
20211202  18:15:00,3454.0,3457.38,3446.98,3448.6,67
20211202  18:20:00,3449.72,3449.74,3437.01,3439.85,61
20211202  18:25:00,3440.52,3444.0,3437.75,3439.79,56
20211202  18:30:00,3440.4,3446.34,3434.54,3444.54,78
20211202  18:35:00,3445.87,3445.87,3437.41,3441.64,64
20211202  18:40:00,3440.45,3442.94,3435.15,3436.3,80
